latitude,longitude,timestamp,magnitude
37.6723333,-121.619,7/27/2016 0:19,1.43
21.5146,94.5721,7/27/2016 0:20,4.9
37.5765,-118.8591667,7/27/2016 0:31,0.06
37.5958333,-118.9948333,7/27/2016 0:35,0.4
39.3775,-119.845,7/27/2016 0:41,0.3
61.2963,-152.46,7/27/2016 0:52,1.8
19.4235,-155.6098333,7/27/2016 0:53,1
61.3019,-152.4507,7/27/2016 0:58,2
35.503,-118.4058333,7/27/2016 1:03,1.2
37.673,-121.6133333,7/27/2016 1:04,1.67
33.5888333,-116.8165,7/27/2016 1:09,0.48
38.2638,-118.7351,7/27/2016 1:13,0.9
36.6811667,-121.3368333,7/27/2016 1:17,0.51
37.0286667,-121.19,7/27/2016 1:17,0.53
44.7263333,-111.2098333,7/27/2016 1:20,0.14
18.072,-66.9848,7/27/2016 1:31,1.6
51.3716,178.7402,7/27/2016 1:40,2.1
36.0758333,-117.6788333,7/27/2016 1:42,0.73
37.0263333,-121.1936667,7/27/2016 1:44,0.22
38.7763333,-122.7245,7/27/2016 1:45,1.22
38.8415,-122.8288333,7/27/2016 1:48,0.55
19.4074993,-155.2843323,7/27/2016 1:49,1.47
62.5408,-149.8593,7/27/2016 1:50,1.2
33.7878333,-116.037,7/27/2016 1:58,0.81
59.1835,-152.5865,7/27/2016 2:15,1.6
35.9231667,-117.6898333,7/27/2016 2:20,0.75
38.8348333,-122.8023333,7/27/2016 2:22,1.4
64.7377,-151.2365,7/27/2016 2:26,0.8
35.978,-117.8535,7/27/2016 2:38,1.13
37.6363333,-118.9426667,7/27/2016 2:42,0.47
-24.286,-67.8647,7/27/2016 2:43,5.6
18.6138,-68.7526,7/27/2016 3:00,3.6
35.9758333,-117.8596667,7/27/2016 3:02,0.28
61.1163,-147.2352,7/27/2016 3:06,1.2
63.0332,-151.4388,7/27/2016 3:09,2.3
36.49,-113.9923,7/27/2016 3:18,1.1
60.4444,-151.8699,7/27/2016 3:19,1.5
53.302,-163.5048,7/27/2016 3:22,2.5
61.251,-151.3632,7/27/2016 3:25,1.3
62.1521,-150.1588,7/27/2016 3:32,2
38.7781667,-122.7505,7/27/2016 3:56,1.75
38.7885,-122.7218333,7/27/2016 4:00,0.62
19.3997,-64.2795,7/27/2016 4:04,2.7
37.5141667,-118.8263333,7/27/2016 4:06,0.8
18.0625,-66.5327,7/27/2016 4:10,1.8
18.7893333,-154.8673333,7/27/2016 4:13,1.83
54.9592,-159.6299,7/27/2016 4:20,2.6
61.2406,-150.5094,7/27/2016 4:26,1.3
36.0171667,-117.8111667,7/27/2016 4:44,0.06
33.5145,-116.5175,7/27/2016 4:45,0.75
32.905,-115.5326667,7/27/2016 4:48,1.6
61.1172,-150.9111,7/27/2016 4:49,2.3
64.7401,-149.2947,7/27/2016 5:05,0.3
54.7822,-162.2961,7/27/2016 5:11,2.1
61.4464,-151.7569,7/27/2016 5:20,1.1
-3.7122,131.5537,7/27/2016 5:21,4.9
63.5351,-151.9833,7/27/2016 5:36,0.5
68.5121,-146.7507,7/27/2016 5:39,1
1.3512,124.434,7/27/2016 5:53,4.2
36.7,-121.3381667,7/27/2016 6:02,1.84
60.2452,-141.1849,7/27/2016 6:05,0.9
61.6271,-151.8501,7/27/2016 6:10,1.5
36.1681667,-120.1663333,7/27/2016 6:12,1.75
61.4586,-146.6547,7/27/2016 6:19,1.2
33.7398333,-117.5278333,7/27/2016 6:23,0.59
61.8231,-150.2247,7/27/2016 6:27,1.2
33.0166667,-116.3543333,7/27/2016 6:29,0.84
61.5179,-146.4904,7/27/2016 6:42,1.1
38.8160019,-122.8150024,7/27/2016 6:45,0.71
19.4034996,-155.2831726,7/27/2016 6:49,2.1
59.4809,-152.6624,7/27/2016 6:52,1.6
63.2389,-151.3281,7/27/2016 7:02,0.6
58.4244,-153.6441,7/27/2016 7:06,1.7
52.7406,-166.6875,7/27/2016 7:13,3.3
47.3855,-121.7835,7/27/2016 7:22,1.3
-21.7716,-113.8676,7/27/2016 7:27,4.8
60.8123,-147.6027,7/27/2016 7:31,1.3
38.8123322,-122.8181686,7/27/2016 7:39,1.02
51.1326,178.6078,7/27/2016 7:41,1.9
-23.3566,-66.9895,7/27/2016 7:45,4
52.7317,-166.6461,7/27/2016 7:47,2.3
10.9473,124.6154,7/27/2016 7:56,4.9
61.4966,-140.6142,7/27/2016 8:04,1.1
32.9211667,-116.2398333,7/27/2016 8:05,1.02
19.173,-155.5863333,7/27/2016 8:06,1.99
54.4634,-161.4569,7/27/2016 8:09,2.4
39.8674,-119.0119,7/27/2016 8:15,0.8
34.0308333,-116.7703333,7/27/2016 8:16,1.34
-4.8676,153.6709,7/27/2016 8:22,4.8
33.7811667,-115.6553333,7/27/2016 8:28,1.03
54.1201,-161.2719,7/27/2016 8:31,3.2
37.4285,-121.7716667,7/27/2016 8:34,1.22
35.9805,69.1573,7/27/2016 8:37,4.5
38.6459,-118.7994,7/27/2016 8:38,2
62.8542,-150.8216,7/27/2016 8:46,1
38.9155,-122.8926667,7/27/2016 8:57,1.74
56.444,-158.9668,7/27/2016 9:13,2
34.018,-116.9448333,7/27/2016 9:17,1.53
33.0133333,-116.3573333,7/27/2016 9:19,1.82
-24.1725,-67.2739,7/27/2016 9:21,4.1
61.45,-140.6041,7/27/2016 9:24,0.9
41.8767,-119.6278,7/27/2016 9:28,1.6
45.3598333,-121.7006667,7/27/2016 9:34,0.52
-52.1331,27.7175,7/27/2016 9:34,4.5
36.0255,-117.7645,7/27/2016 9:37,0.61
64.6281,-147.7578,7/27/2016 9:44,0.4
36.646,-121.2611667,7/27/2016 9:50,2.09
38.8293333,-122.8135,7/27/2016 9:50,1.16
55.1608,-159.3778,7/27/2016 9:51,3.6
36.0243333,-117.7675,7/27/2016 10:02,0.72
36.0273333,-117.7651667,7/27/2016 10:06,0.96
-7.237,-76.2101,7/27/2016 10:06,4.3
-19.3536,-177.4688,7/27/2016 10:22,4.4
59.7753,-136.57,7/27/2016 10:38,1.2
36.4922,140.7568,7/27/2016 10:47,5.3
38.9195,-122.8885,7/27/2016 11:19,1.11
62.1606,-153.2248,7/27/2016 11:24,1.6
37.4673333,-118.8923333,7/27/2016 11:27,0.65
35.8525,-97.2357,7/27/2016 11:36,2.6
52.7552,-166.7771,7/27/2016 11:38,2.2
67.6877,-166.7916,7/27/2016 11:41,3
62.9393,-148.3064,7/27/2016 11:48,1.2
52.7361,-168.6086,7/27/2016 11:51,1.8
53.9955,-163.6187,7/27/2016 11:58,2
63.5851,-147.3953,7/27/2016 12:07,1.2
63.5873,-151.1715,7/27/2016 12:10,0.5
60.205,-140.9321,7/27/2016 12:12,1.6
38.8226667,-122.8446667,7/27/2016 12:15,1.56
65.0745,-149.7254,7/27/2016 12:16,1.2
33.7266667,-115.9446667,7/27/2016 12:17,2.17
63.5137,-151.2119,7/27/2016 12:33,1.7
33.5185,-116.5193333,7/27/2016 12:45,0.68
59.9464,-152.8283,7/27/2016 12:48,1.4
64.6442,-149.3513,7/27/2016 12:48,0.4
36.4063333,-120.2075,7/27/2016 12:54,2.25
46.433,-122.3106667,7/27/2016 13:00,1.33
63.6092,-147.5036,7/27/2016 13:11,0.7
35.8519,-97.2366,7/27/2016 13:12,2.7
33.9368333,-116.7363333,7/27/2016 13:22,2.03
66.3658,-150.1971,7/27/2016 13:23,1.4
33.7276667,-115.9425,7/27/2016 13:29,1.28
52.7041,-168.5775,7/27/2016 13:30,1.6
58.8044,-155.0242,7/27/2016 13:31,2.1
33.4063333,-116.3943333,7/27/2016 13:43,0.71
